algorithm,scenario_index,run_id,source,dest,bandwidth_requirement,path,cost,delay_ms,reliability_cost,resource_cost
SARSA (Optimized),3,1,37,208,124.0,"[37, 122, 208]",8.093738888354771,14.86,0.04347212384630674,3.2534862560044013
SARSA (Optimized),3,2,37,208,124.0,"[37, 88, 208]",6.371931729702145,11.75,0.07648187995218622,2.3699358285824452
SARSA (Optimized),3,3,37,208,124.0,"[37, 168, 208]",7.9350573200855985,14.42,0.0780120768006543,3.5082684852270107
SARSA (Optimized),3,4,37,208,124.0,"[37, 150, 208]",8.07246053417943,15.04,0.08221149379087359,2.6389854302108464
SARSA (Optimized),4,0,51,124,94.0,"[51, 124]",3.721857533679465,7.0,0.014098924379501648,1.088139281828074
SARSA (Optimized),4,1,51,124,94.0,"[51, 124]",3.721857533679465,7.0,0.014098924379501648,1.088139281828074
SARSA (Optimized),4,2,51,124,94.0,"[51, 124]",3.721857533679465,7.0,0.014098924379501648,1.088139281828074
SARSA (Optimized),4,3,51,124,94.0,"[51, 124]",3.721857533679465,7.0,0.014098924379501648,1.088139281828074
SARSA (Optimized),4,4,51,124,94.0,"[51, 124]",3.721857533679465,7.0,0.014098924379501648,1.088139281828074
SARSA (Optimized),5,0,53,19,57.0,"[53, 172, 83, 19]",13.144843898567974,23.38,0.15766847001153997,7.037716787822562
SARSA (Optimized),5,1,53,19,57.0,"[53, 93, 19]",11.584759640279959,21.73,0.11116139717352491,3.4320561056395054
SARSA (Optimized),5,2,53,19,57.0,"[53, 95, 19]",9.152006546157875,17.25,0.09245376723776469,2.4963520799327297
SARSA (Optimized),5,3,53,19,57.0,"[53, 157, 19]",10.905733926826228,17.86,0.05009411053810719,9.803528468323977
SARSA (Optimized),5,4,53,19,57.0,"[53, 62, 19]",7.1608718243786385,12.47,0.03735436682159335,4.573327571660802
SARSA (Optimized),6,0,58,106,115.0,"[58, 190, 106]",11.045352826743875,20.57,0.11245087069900561,3.633087827670864
SARSA (Optimized),6,1,58,106,115.0,"[58, 174, 102, 106]",11.616209741667587,19.490000000000002,0.17005235897225077,9.100970169879556
SARSA (Optimized),6,2,58,106,115.0,"[58, 47, 106]",9.796491953080615,16.54,0.0546364765986833,7.55050505050505
SARSA (Optimized),6,3,58,106,115.0,"[58, 21, 212, 106]",10.279909599142442,17.43,0.15890677316363466,7.586187835966757
SARSA (Optimized),6,4,58,106,115.0,"[58, 245, 158, 106]",7.977762393248275,13.69,0.12882007195916242,5.470581858302633
SARSA (Optimized),7,0,64,237,98.0,"[64, 237]",4.791030839875483,9.0,0.03770186718401153,1.3986013986013985
SARSA (Optimized),7,1,64,237,98.0,"[64, 237]",4.791030839875483,9.0,0.03770186718401153,1.3986013986013985
SARSA (Optimized),7,2,64,237,98.0,"[64, 237]",4.791030839875483,9.0,0.03770186718401153,1.3986013986013985
SARSA (Optimized),7,3,64,237,98.0,"[64, 237]",4.791030839875483,9.0,0.03770186718401153,1.3986013986013985
SARSA (Optimized),7,4,64,237,98.0,"[64, 237]",4.791030839875483,9.0,0.03770186718401153,1.3986013986013985
SARSA (Optimized),8,0,77,67,135.0,"[77, 93, 169, 67]",12.524480430493918,22.7,0.11267883855812769,5.703383894632395
SARSA (Optimized),8,1,77,67,135.0,"[77, 168, 67]",14.692477064636568,27.42,0.04745066989258853,4.841209318343952
SARSA (Optimized),8,2,77,67,135.0,"[77, 181, 67]",10.929784359728869,20.85,0.06908662088128867,2.420291867322406
SARSA (Optimized),8,3,77,67,135.0,"[77, 158, 67]",8.407996371730412,15.01,0.06578401964892566,4.41630582917867
SARSA (Optimized),8,4,77,67,135.0,"[77, 78, 67]",6.733559744828178,12.379999999999999,0.08119749151314637,2.596002486871172
SARSA (Optimized),9,0,82,39,19.0,"[82, 39]",6.903106587820338,13.0,0.04919024419077178,1.941747572815534
SARSA (Optimized),9,1,82,39,19.0,"[82, 39]",6.903106587820338,13.0,0.04919024419077178,1.941747572815534
SARSA (Optimized),9,2,82,39,19.0,"[82, 39]",6.903106587820338,13.0,0.04919024419077178,1.941747572815534
SARSA (Optimized),9,3,82,39,19.0,"[82, 39]",6.903106587820338,13.0,0.04919024419077178,1.941747572815534
SARSA (Optimized),9,4,82,39,19.0,"[82, 39]",6.903106587820338,13.0,0.04919024419077178,1.941747572815534
SARSA (Optimized),10,0,85,180,24.0,"[85, 153, 180]",6.8292504908127585,12.55,0.04138960974997095,2.7091680394388353
SARSA (Optimized),10,1,85,180,24.0,"[85, 24, 13, 180]",10.084195303607213,17.66,0.18034723759236504,6.000455661647516
SARSA (Optimized),10,2,85,180,24.0,"[85, 77, 180]",6.9259312685620795,12.75,0.08233415227858534,2.63115511439252
SARSA (Optimized),10,3,85,180,24.0,"[85, 2, 180]",5.76156587832437,10.35,0.09037266780344741,2.7972703899166813
