algorithm,scenario_index,run_id,source,dest,bandwidth_requirement,path,total_cost,delay_ms,reliability_cost,resource_cost
GeneticAlgorithm,13,3,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
GeneticAlgorithm,13,4,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
GeneticAlgorithm,14,0,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
GeneticAlgorithm,14,1,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
GeneticAlgorithm,14,2,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
GeneticAlgorithm,14,3,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
GeneticAlgorithm,14,4,20,30,100.0,"[20, 30]",4.844046596650927,9.176808368844474,0.04396528257124545,1.2122641372865854
GeneticAlgorithm,15,0,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
GeneticAlgorithm,15,1,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
GeneticAlgorithm,15,2,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
GeneticAlgorithm,15,3,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
GeneticAlgorithm,15,4,45,210,450.0,"[45, 35, 210]",11.496815870248687,19.59910203804923,0.037375176322990956,8.430261491635875
GeneticAlgorithm,16,0,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
GeneticAlgorithm,16,1,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
GeneticAlgorithm,16,2,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
GeneticAlgorithm,16,3,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
GeneticAlgorithm,16,4,77,155,200.0,"[77, 59, 155]",12.186252274183635,23.251866491736664,0.11688813561653175,2.6262629381517257
GeneticAlgorithm,17,0,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
GeneticAlgorithm,17,1,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
GeneticAlgorithm,17,2,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
GeneticAlgorithm,17,3,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
GeneticAlgorithm,17,4,88,166,300.0,"[88, 166]",2.997172684852807,5.355349189046193,0.029292002138032614,1.5535524484415022
GeneticAlgorithm,18,0,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
GeneticAlgorithm,18,1,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
GeneticAlgorithm,18,2,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
GeneticAlgorithm,18,3,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
GeneticAlgorithm,18,4,99,177,350.0,"[99, 177]",3.831179399719635,6.999922526983825,0.04574479822290765,1.5874734838042492
GeneticAlgorithm,19,0,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
GeneticAlgorithm,19,1,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
GeneticAlgorithm,19,2,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
GeneticAlgorithm,19,3,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
GeneticAlgorithm,19,4,123,200,250.0,"[123, 0, 200]",7.15962054829518,12.298065986070661,0.11964247103125489,4.87347406975237
QLearning,0,0,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
QLearning,0,1,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
QLearning,0,2,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
QLearning,0,3,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
QLearning,0,4,0,149,100.0,"[0, 149]",7.065600768670308,12.859935493534227,0.022188408846260138,3.14488249624658
QLearning,1,0,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
QLearning,1,1,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
QLearning,1,2,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
QLearning,1,3,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
QLearning,1,4,3,87,200.0,"[3, 0, 87]",7.016963835558012,12.52461947938928,0.11784615051311109,3.5965012535471925
QLearning,2,0,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
QLearning,2,1,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
QLearning,2,2,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
QLearning,2,3,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
QLearning,2,4,10,200,150.0,"[10, 7, 200]",8.839639573153335,16.701188087668815,0.10724588494953985,2.284358819170328
QLearning,3,0,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
QLearning,3,1,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
QLearning,3,2,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
QLearning,3,3,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
QLearning,3,4,5,120,250.0,"[5, 120]",4.090579649574784,7.1235058511690434,0.018166372082599924,2.6168840618274105
QLearning,4,0,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
QLearning,4,1,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
